,标题,学校,门类/专业,招生人数,发布时间,链接
0,华东双一流计算机招生物医学工程、心理学推免生和跨专业考研,安徽大学,工学 -> 计算机科学与技术  -> 计算机系统结构,3,2022-08-30 14:50,http://muchong.com/t-15396057-1
1,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-08-10 16:34,http://muchong.com/t-15380211-1
2,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-07-29 10:23,http://muchong.com/t-15370896-1
3,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-07-27 15:57,http://muchong.com/t-15369394-1
4,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-07-26 10:18,http://muchong.com/t-15368056-1
5,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  ,2,2022-07-22 09:38,http://muchong.com/t-15364821-1
6,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  ,2,2022-07-20 09:47,http://muchong.com/t-15362720-1
7,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-07-18 10:12,http://muchong.com/t-15360862-1
8,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-07-15 18:39,http://muchong.com/t-15359441-1
9,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-07-13 09:25,http://muchong.com/t-15356954-1
10,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-07-12 15:15,http://muchong.com/t-15356401-1
11,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-07-08 09:27,http://muchong.com/t-15353271-1
12,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-07-06 09:22,http://muchong.com/t-15351445-1
13,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-07-04 15:15,http://muchong.com/t-15349908-1
14,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-07-01 09:28,http://muchong.com/t-15347460-1
